age,metier,etat_civil,niveau_education,defaut_credit,solde_annuel_moyen,pret_immobilier,pret_personel,type_contact,jour,mois,duree_appel,nb_appels_campagne,jours_depuis_dernier,appels_precedents,resultat_prec,cible
26,étudiant,célibataire,secondaire,non,0,oui,non,inconnu,5,mai,610,2,-1,0,inconnu,no
40,cadre,marié,supérieur,non,-4,oui,non,inconnu,5,mai,2033,1,-1,0,inconnu,no
39,cadre,marié,secondaire,non,18,oui,non,inconnu,5,mai,85,1,-1,0,inconnu,no
50,technicien,marié,primaire,non,139,non,non,inconnu,5,mai,114,2,-1,0,inconnu,no
41,service,marié,secondaire,non,0,oui,non,inconnu,5,mai,114,2,-1,0,inconnu,no
51,ouvrier,marié,inconnu,non,1883,oui,non,inconnu,5,mai,57,1,-1,0,inconnu,no
60,retraité,divorcé,secondaire,non,216,oui,non,inconnu,5,mai,238,1,-1,0,inconnu,no
52,ouvrier,marié,secondaire,non,782,oui,non,inconnu,5,mai,93,3,-1,0,inconnu,no
48,ouvrier,marié,secondaire,non,904,oui,non,inconnu,5,mai,128,2,-1,0,inconnu,no
48,service,marié,inconnu,non,1705,oui,non,inconnu,5,mai,107,1,-1,0,inconnu,no
39,technicien,célibataire,supérieur,non,47,oui,non,inconnu,5,mai,181,1,-1,0,inconnu,no
47,service,célibataire,secondaire,non,176,oui,non,inconnu,5,mai,303,2,-1,0,inconnu,no
40,ouvrier,marié,secondaire,non,1225,oui,non,inconnu,5,mai,558,5,-1,0,inconnu,no
45,technicien,marié,secondaire,non,86,oui,non,inconnu,5,mai,270,1,-1,0,inconnu,no
26,administratif,célibataire,secondaire,non,82,oui,non,inconnu,5,mai,228,1,-1,0,inconnu,no
52,cadre,marié,supérieur,non,271,oui,non,inconnu,5,mai,99,1,-1,0,inconnu,no
54,technicien,marié,secondaire,non,1378,oui,non,inconnu,5,mai,240,1,-1,0,inconnu,no
54,administratif,marié,supérieur,non,184,non,non,inconnu,5,mai,673,2,-1,0,inconnu,yes
50,ouvrier,marié,primaire,non,0,non,non,inconnu,5,mai,233,3,-1,0,inconnu,no
35,ouvrier,marié,secondaire,non,0,oui,non,inconnu,5,mai,1056,1,-1,0,inconnu,no
44,service,marié,secondaire,non,1357,oui,oui,inconnu,5,mai,250,1,-1,0,inconnu,no
53,entrepreneur,marié,inconnu,non,19,oui,non,inconnu,5,mai,252,1,-1,0,inconnu,no
35,retraité,célibataire,primaire,non,434,non,non,inconnu,5,mai,138,1,-1,0,inconnu,no
60,administratif,divorcé,secondaire,non,92,oui,non,inconnu,5,mai,130,1,-1,0,inconnu,no
53,administratif,divorcé,secondaire,non,1151,oui,non,inconnu,5,mai,412,1,-1,0,inconnu,no
48,sans emploi,marié,secondaire,non,41,oui,non,inconnu,5,mai,179,2,-1,0,inconnu,no
34,technicien,marié,secondaire,non,51,oui,non,inconnu,5,mai,19,2,-1,0,inconnu,no
54,service,marié,secondaire,non,214,oui,non,inconnu,5,mai,458,2,-1,0,inconnu,no
51,cadre,marié,secondaire,non,1161,oui,non,inconnu,5,mai,717,1,-1,0,inconnu,no
31,service,marié,supérieur,non,37,oui,non,inconnu,5,mai,313,1,-1,0,inconnu,no
35,technicien,divorcé,secondaire,non,787,oui,non,inconnu,5,mai,683,2,-1,0,inconnu,no
35,service,marié,secondaire,non,59,oui,non,inconnu,5,mai,1077,1,-1,0,inconnu,no
38,technicien,marié,secondaire,non,253,oui,non,inconnu,5,mai,416,1,-1,0,inconnu,no
36,administratif,marié,supérieur,non,211,oui,non,inconnu,5,mai,146,2,-1,0,inconnu,no
58,retraité,marié,primaire,non,235,oui,non,inconnu,5,mai,167,1,-1,0,inconnu,no
40,service,divorcé,inconnu,non,4384,oui,non,inconnu,5,mai,315,1,-1,0,inconnu,no
54,cadre,marié,secondaire,non,4080,non,non,inconnu,5,mai,140,1,-1,0,inconnu,no
34,ouvrier,célibataire,secondaire,non,53,oui,oui,inconnu,5,mai,346,1,-1,0,inconnu,no
31,cadre,célibataire,supérieur,non,0,oui,non,inconnu,5,mai,562,1,-1,0,inconnu,no
51,retraité,marié,secondaire,non,2127,oui,non,inconnu,5,mai,172,1,-1,0,inconnu,no
33,cadre,marié,supérieur,non,377,oui,non,inconnu,5,mai,217,1,-1,0,inconnu,no
55,cadre,marié,supérieur,non,73,oui,non,inconnu,5,mai,142,2,-1,0,inconnu,no
42,administratif,marié,secondaire,non,445,oui,non,inconnu,5,mai,67,1,-1,0,inconnu,no
34,ouvrier,marié,secondaire,non,243,oui,non,inconnu,5,mai,291,1,-1,0,inconnu,no
33,ouvrier,célibataire,secondaire,non,307,oui,non,inconnu,5,mai,309,2,-1,0,inconnu,no
38,service,marié,secondaire,non,155,oui,non,inconnu,5,mai,248,1,-1,0,inconnu,no
50,technicien,divorcé,supérieur,non,173,non,oui,inconnu,5,mai,98,1,-1,0,inconnu,no
43,cadre,marié,supérieur,non,400,oui,non,inconnu,5,mai,256,1,-1,0,inconnu,no
61,ouvrier,divorcé,primaire,non,1428,oui,non,inconnu,5,mai,82,2,-1,0,inconnu,no
47,administratif,marié,secondaire,non,219,oui,non,inconnu,5,mai,577,1,-1,0,inconnu,no
48,indépendant,marié,supérieur,non,7,oui,non,inconnu,5,mai,286,1,-1,0,inconnu,no
44,ouvrier,marié,secondaire,non,575,oui,non,inconnu,5,mai,477,1,-1,0,inconnu,no
35,étudiant,célibataire,inconnu,non,298,oui,non,inconnu,5,mai,611,2,-1,0,inconnu,no
35,service,marié,secondaire,non,0,oui,non,inconnu,5,mai,471,1,-1,0,inconnu,no
50,service,marié,secondaire,non,5699,oui,non,inconnu,5,mai,381,2,-1,0,inconnu,no
41,cadre,marié,supérieur,non,176,oui,oui,inconnu,5,mai,42,1,-1,0,inconnu,no
41,cadre,marié,supérieur,non,517,oui,non,inconnu,5,mai,251,1,-1,0,inconnu,no
39,service,célibataire,inconnu,non,257,oui,non,inconnu,5,mai,408,1,-1,0,inconnu,no
42,retraité,marié,secondaire,non,56,oui,non,inconnu,5,mai,215,1,-1,0,inconnu,no
38,ouvrier,marié,secondaire,non,-390,oui,non,inconnu,5,mai,287,1,-1,0,inconnu,no
53,retraité,marié,secondaire,non,330,oui,non,inconnu,5,mai,216,2,-1,0,inconnu,no
59,domestique,divorcé,primaire,non,195,non,non,inconnu,5,mai,366,2,-1,0,inconnu,no
36,service,marié,secondaire,non,301,oui,non,inconnu,5,mai,210,1,-1,0,inconnu,no
54,ouvrier,marié,primaire,non,-41,oui,non,inconnu,5,mai,288,1,-1,0,inconnu,no
40,technicien,marié,supérieur,non,483,oui,non,inconnu,5,mai,168,1,-1,0,inconnu,no
47,inconnu,marié,inconnu,non,28,non,non,inconnu,5,mai,338,2,-1,0,inconnu,no
53,sans emploi,marié,inconnu,non,13,non,non,inconnu,5,mai,410,3,-1,0,inconnu,no
46,domestique,marié,primaire,non,965,non,non,inconnu,5,mai,177,1,-1,0,inconnu,no
39,cadre,marié,supérieur,non,378,oui,oui,inconnu,5,mai,127,2,-1,0,inconnu,no
40,sans emploi,marié,secondaire,non,219,oui,non,inconnu,5,mai,357,1,-1,0,inconnu,no
28,ouvrier,marié,primaire,non,324,oui,non,inconnu,5,mai,175,1,-1,0,inconnu,no
35,entrepreneur,divorcé,secondaire,non,-69,oui,non,inconnu,5,mai,300,1,-1,0,inconnu,no
55,retraité,marié,secondaire,non,0,non,oui,inconnu,5,mai,136,1,-1,0,inconnu,no
43,technicien,divorcé,inconnu,non,205,oui,non,inconnu,5,mai,1419,1,-1,0,inconnu,no
48,ouvrier,marié,primaire,non,278,oui,non,inconnu,5,mai,125,2,-1,0,inconnu,no
58,cadre,marié,inconnu,non,1065,oui,non,inconnu,5,mai,213,3,-1,0,inconnu,no
33,cadre,célibataire,supérieur,non,34,oui,non,inconnu,5,mai,27,1,-1,0,inconnu,no
36,ouvrier,marié,inconnu,non,1033,non,non,inconnu,5,mai,238,2,-1,0,inconnu,no
53,service,divorcé,secondaire,non,1467,oui,non,inconnu,5,mai,124,1,-1,0,inconnu,no
47,ouvrier,marié,primaire,non,-12,oui,non,inconnu,5,mai,18,1,-1,0,inconnu,no
31,service,marié,secondaire,non,388,oui,non,inconnu,5,mai,730,2,-1,0,inconnu,no
57,entrepreneur,marié,secondaire,non,294,oui,non,inconnu,5,mai,746,2,-1,0,inconnu,no
53,ouvrier,marié,inconnu,non,1827,non,non,inconnu,5,mai,121,1,-1,0,inconnu,no
55,ouvrier,marié,primaire,non,627,oui,non,inconnu,5,mai,247,1,-1,0,inconnu,no
45,ouvrier,marié,primaire,non,25,oui,non,inconnu,5,mai,40,1,-1,0,inconnu,no
53,administratif,divorcé,secondaire,non,315,oui,non,inconnu,5,mai,181,2,-1,0,inconnu,no
37,ouvrier,marié,primaire,non,0,oui,non,inconnu,5,mai,79,1,-1,0,inconnu,no
44,administratif,divorcé,secondaire,non,66,oui,non,inconnu,5,mai,206,1,-1,0,inconnu,no
49,ouvrier,divorcé,primaire,non,-9,oui,oui,inconnu,5,mai,389,1,-1,0,inconnu,no
46,technicien,marié,secondaire,non,349,oui,oui,inconnu,5,mai,127,1,-1,0,inconnu,no
43,entrepreneur,marié,inconnu,non,100,oui,non,inconnu,5,mai,702,1,-1,0,inconnu,no
38,administratif,marié,secondaire,non,0,non,non,inconnu,5,mai,151,1,-1,0,inconnu,no
43,technicien,marié,secondaire,non,434,oui,non,inconnu,5,mai,117,1,-1,0,inconnu,no
49,cadre,marié,supérieur,non,3237,oui,non,inconnu,5,mai,232,3,-1,0,inconnu,no
42,cadre,marié,inconnu,non,275,non,non,inconnu,5,mai,408,2,-1,0,inconnu,no
22,ouvrier,célibataire,secondaire,non,0,oui,non,inconnu,5,mai,179,2,-1,0,inconnu,no
40,cadre,marié,supérieur,non,207,oui,non,inconnu,5,mai,39,1,-1,0,inconnu,no
39,ouvrier,marié,secondaire,non,483,oui,non,inconnu,5,mai,282,1,-1,0,inconnu,no
51,service,marié,secondaire,non,2248,oui,non,inconnu,5,mai,714,2,-1,0,inconnu,no
49,administratif,marié,secondaire,non,428,oui,non,inconnu,5,mai,50,1,-1,0,inconnu,no
53,ouvrier,marié,secondaire,non,0,oui,oui,inconnu,5,mai,181,1,-1,0,inconnu,no
34,service,célibataire,secondaire,non,0,oui,non,inconnu,5,mai,142,1,-1,0,inconnu,no
33,technicien,divorcé,secondaire,non,140,oui,non,inconnu,5,mai,227,1,-1,0,inconnu,no
50,cadre,célibataire,supérieur,non,297,oui,non,inconnu,5,mai,119,1,-1,0,inconnu,no
39,ouvrier,marié,primaire,non,279,oui,non,inconnu,5,mai,361,1,-1,0,inconnu,no
59,entrepreneur,divorcé,secondaire,non,901,oui,non,inconnu,5,mai,73,3,-1,0,inconnu,no
30,technicien,célibataire,secondaire,non,2573,oui,non,inconnu,5,mai,67,2,-1,0,inconnu,no
36,service,marié,secondaire,non,143,oui,oui,inconnu,5,mai,350,1,-1,0,inconnu,no
40,ouvrier,marié,secondaire,non,475,oui,non,inconnu,5,mai,332,2,-1,0,inconnu,no
53,ouvrier,marié,secondaire,non,70,oui,non,inconnu,5,mai,611,2,-1,0,inconnu,no
34,cadre,célibataire,supérieur,non,318,oui,non,inconnu,5,mai,113,2,-1,0,inconnu,no
37,technicien,marié,secondaire,non,275,oui,non,inconnu,5,mai,132,1,-1,0,inconnu,no
42,cadre,divorcé,supérieur,non,742,oui,non,inconnu,5,mai,58,3,-1,0,inconnu,no
41,entrepreneur,marié,primaire,non,236,oui,non,inconnu,5,mai,151,1,-1,0,inconnu,no
30,étudiant,célibataire,supérieur,non,25,oui,non,inconnu,5,mai,89,2,-1,0,inconnu,no
37,cadre,célibataire,supérieur,non,600,oui,non,inconnu,5,mai,152,1,-1,0,inconnu,no
39,administratif,divorcé,secondaire,non,-349,oui,non,inconnu,5,mai,611,2,-1,0,inconnu,no
41,ouvrier,marié,primaire,non,183,oui,oui,inconnu,5,mai,110,2,-1,0,inconnu,no
40,ouvrier,marié,primaire,non,0,oui,non,inconnu,5,mai,463,1,-1,0,inconnu,no
42,cadre,célibataire,supérieur,non,0,oui,oui,inconnu,5,mai,562,2,-1,0,inconnu,yes
40,ouvrier,divorcé,primaire,non,0,oui,non,inconnu,5,mai,962,1,-1,0,inconnu,no
57,technicien,marié,secondaire,non,1078,oui,non,inconnu,5,mai,10,4,-1,0,inconnu,no
56,entrepreneur,divorcé,secondaire,non,155,non,non,inconnu,5,mai,118,3,-1,0,inconnu,no
